category,entity,document_type,as_of_date,url,local_path,notes
Public Company,TransUnion,2025 10-K,2025-12-31,https://www.sec.gov/Archives/edgar/data/1552033/000155203326000012/tru-20251231.htm,data/raw/reference_html/tru_2025_10k.html,Primary annual filing used for LTM operating and balance-sheet data.
Public Company,Equifax,2025 10-K,2025-12-31,https://www.sec.gov/Archives/edgar/data/33185/000003318526000010/efx-20251231.htm,data/raw/reference_html/efx_2025_10k.html,Primary annual filing used for LTM operating and balance-sheet data.
Public Company,Verisk Analytics,2025 10-K,2025-12-31,https://www.sec.gov/Archives/edgar/data/1442145/000143774926004452/vrsk20251231_10k.htm,data/raw/reference_html/vrsk_2025_10k.html,Primary annual filing used for LTM operating and balance-sheet data.
Public Company,Morningstar,2025 10-K,2025-12-31,https://www.sec.gov/Archives/edgar/data/1289419/000128941926000013/morn-20251231.htm,data/raw/reference_html/morn_2025_10k.html,Primary annual filing used for LTM operating and balance-sheet data.
Public Company,MSCI,2025 10-K,2025-12-31,https://www.sec.gov/Archives/edgar/data/1408198/000140819826000011/msci-20251231.htm,data/raw/reference_html/msci_2025_10k.html,Primary annual filing used for LTM operating and balance-sheet data.
Public Company,Moody's,2025 10-K,2025-12-31,https://www.sec.gov/Archives/edgar/data/1059556/000162828026009136/mco-20251231.htm,data/raw/reference_html/mco_2025_10k.html,Primary annual filing used for LTM operating and balance-sheet data.
Public Company,S&P Global,2025 10-K,2025-12-31,https://www.sec.gov/Archives/edgar/data/64040/000006404026000013/spgi-20251231.htm,data/raw/reference_html/spgi_2025_10k.html,Primary annual filing used for LTM operating and balance-sheet data.
Precedent Transaction,Dun & Bradstreet Holdings,Announcement Press Release,2025-03-24,https://www.sec.gov/Archives/edgar/data/1799208/000110465925027293/tm2510133d1_ex99-1.htm,data/raw/reference_html/dnb_announcement_press_release.html,Public announcement material used for offer price and buyer context.
Precedent Transaction,Dun & Bradstreet Holdings,Premium Reference,2025-03-24,https://www.investing.com/news/stock-market-news/pe-firm-clearlake-to-buy-dun--bradstreet-for-41-billion-in-cash-3945178,,Public source documenting the premium basis noted in the workbook.
Precedent Transaction,Envestnet,Announcement Press Release,2024-07-11,https://www.stocktitan.net/news/ENV/envestnet-leading-wealth-technology-platform-announces-4-5-billion-i21lo25fnrhh.html,data/raw/reference_html/env_announcement_press_release.html,Public announcement material used for offer price and buyer context.
Precedent Transaction,Envestnet,Premium Reference,2024-07-11,https://citywire.com/ria/news/bain-capital-to-take-envestnet-private-in-4-5bn-deal/a2442550,data/raw/reference_html/env_premium_reference.html,Public source documenting the premium basis noted in the workbook.
Precedent Transaction,Model N,Announcement Press Release,2024-04-08,https://marketchameleon.com/PressReleases/i/1874156/MODN/model-n-to-be-acquired-by-vista,data/raw/reference_html/modn_announcement_press_release.html,Public announcement material used for offer price and buyer context.
Precedent Transaction,Model N,Premium Reference,2024-04-08,https://www.benzinga.com/markets/equities/24/04/38144970/why-information-technology-model-n-shares-are-surging-today,data/raw/reference_html/modn_premium_reference.html,Public source documenting the premium basis noted in the workbook.
Precedent Transaction,Black Knight,Announcement Press Release,2022-05-04,https://www.nasdaq.com/articles/intercontinental-exchange-to-buy-black-knight-in-%2413.1-bln-deal,,Public announcement material used for offer price and buyer context.
Precedent Transaction,Black Knight,Premium Reference,2022-05-04,https://www.jaxdailyrecord.com/news/2022/may/12/low-stock-price-spurred-black-knight-deal/,data/raw/reference_html/bki_premium_reference.html,Public source documenting the premium basis noted in the workbook.
Precedent Transaction,Bottomline Technologies,Announcement Press Release,2021-12-17,https://marketchameleon.com/PressReleases/i/1352182/EPAY/bottomline-to-be-acquired-by-thoma-bravo,data/raw/reference_html/epay_announcement_press_release.html,Public announcement material used for offer price and buyer context.
Precedent Transaction,Bottomline Technologies,Premium Reference,2021-12-17,https://www.publicnow.com/view/6F71E0380357D4D65D2A238C7AB87A88E3B4D5A6?1652450101=,,Public source documenting the premium basis noted in the workbook.
DCF,TransUnion,2025 10-K,2025-12-31,https://www.sec.gov/Archives/edgar/data/1552033/000155203326000012/tru-20251231.htm,data/raw/reference_html/tru_2025_10k.html,Historical actuals and balance-sheet data.
DCF,TransUnion,2026 Earnings Release,2026-02-12,https://www.sec.gov/Archives/edgar/data/1552033/000155203326000006/exhibit99112312025.htm,data/raw/reference_html/tru_2026_guidance.html,Management 2026 revenue and adjusted EBITDA guidance.
Valuation,Damodaran,Implied ERP Update,2026-04-01,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm,data/raw/reference_html/damodaran_home_apr_2026.html,Used for U.S. ERP and risk-free rate assumptions.
LBO,Dun & Bradstreet,2024 10-K,2024-12-31,https://www.sec.gov/Archives/edgar/data/1799208/000179920825000012/dnb-20241231.htm,data/raw/reference_html/dnb_2024_10k.html,Historical GAAP actuals and capital structure.
LBO,Dun & Bradstreet,Q4 2024 Earnings Presentation,2025-02-20,https://www.sec.gov/Archives/edgar/data/1799208/000179920825000008/dbearningspresentationq4.htm,data/raw/reference_html/dnb_2025_guidance.html,"Management 2025 revenue, EBITDA, D&A, tax, and capex guidance."
LBO,Dun & Bradstreet,Acquisition Announcement,2025-03-24,https://www.sec.gov/Archives/edgar/data/1799208/000110465925027293/tm2510133d1_ex99-1.htm,data/raw/reference_html/dnb_deal_announcement.html,Offer price and headline transaction valuation.
